Sofware o fuente;Area de identificacion;Modulo(QUERY);Nombre Query;Modulo(TABLA);Tabla;Nombre tecnico;Nombre completo;Nombre dato;Definición;Tipo de Dato:;Valor Máximo Permitido:;valores permitidos;tipo de ingreso del dato ;Encargado
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;DocEntry;@OK1_EXE_CONTR_HEAD.DocEntry;DocEntry;Numero identificador consecutivo del contrato de prevision;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_Conse_CargaM;@OK1_EXE_CONTR_HEAD.U_Conse_CargaM;Conse_CargaM;Consecutivo de Carga;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;CreateDate;@OK1_EXE_CONTR_HEAD.CreateDate;CreateDate;Fecha de Creacion del contrato en SAP;Fecha;Indefinido;Fecha;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_R_FECRCO;@OK1_EXE_CONTR_HEAD.U_R_FECRCO;Fecha Crea Contrato;Fecha de Firma del Contrato;Fecha;Indefinido;Fecha;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_fecIn;@OK1_EXE_CONTR_HEAD.U_fecIn;Fecha Inicio;Fecha inicio de Vigencia;Fecha;Indefinido;Fecha;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_nomuen;@OK1_EXE_CONTR_HEAD.U_nomuen;Nombre UEN;Nombre Unidad Estrategica de Negocios;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_conve;@OK1_EXE_CONTR_HEAD.U_conve;Convenio;Codigo Convenio;Numérico;Indefinido;Numérico;Automático;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_nomcon;@OK1_EXE_CONTR_HEAD.U_nomcon;Nombre Convenio;Nombre del convenio al cual pertenece;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_contrant;@OK1_EXE_CONTR_HEAD.U_contrant;Contratante;Numero de documento del contratante con el prefijo C;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
Sap hana;Registro y control;Comisions;Valor todos los Contratos;Afiliaciones;@OK1_EXE_CONTR_HEAD;U_ncontrat;@OK1_EXE_CONTR_HEAD.U_ncontrat;Nombre del Contrante;Nombre y apellido del contratante;Texto;Indefinido;Texto;Humano;Cristian Rodriguez
